,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,0.0,72.3174071010155,1477.214993153141,788.1147339439858,216.9522213030465
1,1.0,518.2747508906111,1299.6296261338316,1079.6518916033408,156.6877153855336
2,2.0,735.2269721936576,1122.1435314302737,1204.0868502249461,96.42320946802063
3,3.0,1000.3907982307145,815.8661915894585,1203.204828684092,421.8515414225905
4,5.0,1711.5119680573669,1247.8026948648876,1211.0080836894097,156.68771538553372
5,7.0,2193.6280153974703,1165.1446640746076,1019.8162506245801,289.26962840406213
6,8.0,2531.1092485355425,1283.7500211382487,965.7013821587227,204.89932011954392
7,9.0,2760.1143710220917,1132.6026537620523,820.2095545033899,229.0051224865488
8,10.0,3025.2781970591486,1052.8335801043556,794.9883498587787,192.84641893604126
9,11.0,3254.283319545698,926.9204693166542,794.4642244375997,108.47611065152307
10,12.0,3447.1297384817394,820.9476390861835,783.6396618628994,168.74061656903595
11,13.0,3700.2406633352934,1587.0745263619715,853.7935576259123,180.7935177525386
12,14.0,3905.1399834548374,1639.3523252634911,850.4798174649125,325.42833195456967
13,15.0,4254.6741177764125,1361.7554485182475,854.4246852654472,216.95222130304614
14,16.0,4495.732141446464,1438.7270862275707,895.4279969379123,156.68771538553372
15,17.0,4676.525659199003,1579.319732624565,909.3552640025608,241.05802367005145
16,18.0,5134.535904172101,811.2670724973248,844.4022998887276,337.4812331380719
17,19.0,5544.334544411189,1596.7604058064464,905.8948598276301,337.4812331380719
18,20.0,6159.032504769821,853.2849641507809,864.9150254025328,96.42320946802042
19,21.0,6339.826022522359,797.2697445755244,852.7263395939583,301.32252958756476
20,22.0,6665.254354476929,907.3551155058966,863.0357046666246,120.52901183502662
21,23.0,6821.942069862463,1661.5433426488648,899.5693292055553,301.32252958756476
22,24.0,7219.687808918047,801.7891193949204,866.6074479236049,180.79351775253906
23,25.0,7424.587129037592,918.666268906714,852.6181651037805,277.21672722055945
24,26.0,7725.909658625157,1026.2250666746088,852.3275942364197,265.16382603705677
25,27.0,8015.179287029218,1081.5408282032076,864.3865600492047,180.79351775253906
26,28.0,8220.078607148762,1168.9914256181733,860.4567192236763,156.68771538553372
27,29.0,8424.977927268306,1301.732880937192,849.9028722336974,216.95222130304614
28,30.0,8666.035950938358,1506.0441339099793,865.6593831838879,590.592157991626
29,31.0,9280.73391129699,1641.3591981793065,863.7017242974838,458.0102449730976
