,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,40.0,12099.321316928657,875.5082404113764,581.8709243615659,277.17568753920216
1,41.0,12448.803705565042,954.8533488847262,711.8554793449301,132.56228534483583
2,42.0,12605.46822460894,946.465587133005,770.9160232600581,156.6645190438969
3,43.0,12786.234977351898,1139.1776084985677,795.5603433114948,289.2268043887327
4,44.0,13099.564015439692,1338.2660275924168,789.3757272616641,180.76675274295795
5,45.0,13352.637469279833,1540.1818845764901,795.7930481320232,120.5111684953053
6,46.0,13497.250871474198,1610.3866640773856,756.5571398318575,241.0223369906106
7,47.0,13822.631026411524,1059.030105003475,677.6036750214704,421.7890897335685
8,48.0,14304.675700392745,1319.144119115562,647.7416836534907,132.56228534483762
9,49.0,14509.544686834764,1523.9295064459006,622.3850115956585,241.0223369906106
10,51.0,15473.634034797207,1533.2098216081201,548.8741409531598,60.25558424765265
11,54.0,16172.598812069979,857.960583833227,746.156565658006,0.0
