,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,1.0,481.96980226900064,1037.061621351726,1192.1421116373929,108.44320551052522
1,2.0,674.757723176601,843.4571839409513,1186.7870994183318,156.6401857374252
2,3.0,855.4963990274762,935.2525739276972,1184.5226541245402,168.6894307941502
3,4.0,1048.2843199350764,1030.921039074644,1184.6096285822775,168.6894307941502
4,5.0,1313.3677111830268,1233.6604235450643,1173.7537932586722,228.93565607777532
5,6.0,1578.4511024309772,1352.1723283780543,1171.5226633879056,108.4432055105251
6,7.0,1771.2390233385775,1423.1221021746567,1172.0798452056636,132.5416956239751
7,8.0,2000.1746794163528,1283.291156697546,1172.5479047526762,325.32961653157554
8,9.0,2349.602786061378,1352.7941900942346,1140.5885184932517,385.5758418152009
9,10.0,2783.375608103479,1442.7561096296017,1148.8724947003,253.03414619122532
10,11.0,3060.508244408154,1522.856839550681,1165.2245370935916,144.59094068070044
11,12.0,3229.1976752023043,1622.3470943657428,1160.528177479818,192.78792090760044
12,13.0,3675.01974230113,845.3919470394802,1115.1884393875805,216.8864110210502
13,14.0,3928.0538884923553,997.1802102422836,1129.6564468431945,578.3637627228009
14,15.0,4554.614631442057,1146.4230457536792,1136.9851221501153,204.83716596432532
15,16.0,4783.550287519832,1215.2941212090116,1130.1371783388167,156.64018573742487
16,17.0,5024.535188654332,1361.3900903369006,1131.5508623211667,108.44320551052533
17,18.0,5157.076884278307,1477.151986419063,1126.8084707439712,204.83716596432532
18,19.0,5434.209520582983,1631.9965202832618,1129.7810395736433,228.9356560777751
19,20.0,5723.391401944383,862.074026016659,1073.513195998729,277.13263630467554
20,21.0,6048.721018475959,993.3535553696499,1085.7717662214757,337.3788615883004
21,22.0,6446.346105347884,1149.1736025410955,1093.730025454667,108.44320551052533
22,23.0,7036.759113127409,882.4825137573255,1183.8809281342903,216.88641102105066
