,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,169.0,45403.280897819066,849.4876948737408,297.8911298707089,240.9940599671927
1,170.0,45728.62287877478,892.0601770808058,530.0297865734956,180.74554497539452
2,176.0,47162.53753557958,993.642200339885,562.0107247470236,144.59643598031136
3,178.0,47548.12803152708,890.811442208569,512.7777898258809,120.49702998359635
4,179.0,47704.774170505756,1087.867535778631,506.8888916030717,132.5467329819503
5,180.0,47969.867636469666,1366.1254081408474,499.4176177428791,228.94435696883164
6,181.0,48234.96110243358,1594.467553430426,506.416238222027,277.14316896226876
7,182.0,48584.40248938601,886.916187441246,457.667001056625,265.0934659639077
8,183.0,48873.59536134664,1050.9673902149657,449.02481822067733,168.69584197703347
9,184.0,49090.49001531711,1373.8174543938685,453.008729798052,289.1928719606369
10,185.0,49403.78229327446,1565.7911663435489,456.10577134431054,168.69584197703347
11,186.0,49656.82605624002,890.0440354748276,372.7376466905686,204.84495097211664
12,187.0,49885.77041320885,1020.0383056996544,381.72970220392125,180.74554497539452
13,188.0,50138.8141761744,1206.500649508448,380.0421377509815,108.44732698523529
14,189.0,50319.559721149795,839.9057420389474,383.4125197150914,578.3857439212596
15,190.0,50946.14427706449,916.3842567369825,562.637711080854,24.099405996722112
16,195.0,52223.41279489062,861.6553661875613,563.8378623103016,445.83901093930933
17,196.0,52693.35121182664,1064.550258086971,558.9230959915221,168.69584197703347
18,197.0,52910.245865797115,1287.0802406014088,556.9504540590922,180.74554497539452
19,198.0,53151.239925764305,871.00923542796,318.3737958264207,253.04376296554665
20,199.0,53464.532203721654,1078.4361721220478,309.91413547276,156.64613897867952
21,200.0,53657.32745169541,1277.6362080911247,316.9916791336979,192.79524797375558
22,201.0,53898.3215116626,1531.74219079621,318.4558558234901,0.0
