,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,1.0,554.2682619202695,927.3704669432796,1183.6664082356328,96.39448033395992
1,3.0,2289.368907931548,1241.0514693333791,1193.8175635878188,120.49310041744965
2,4.0,2470.108558557723,1418.721126959089,1177.397477835106,228.93689079315482
3,5.0,2855.6864798935626,1485.9550944748019,1185.7281943481319,132.54241045919503
4,6.0,3012.3275104362474,1623.9923726552584,1173.6326434640762,108.44379037570474
5,7.0,6988.599824212094,958.8475881891719,982.1742781618066,156.64103054268531
6,8.0,7169.339474838269,1011.2543379618884,982.6542775526226,156.64103054268531
7,9.0,7350.079125464445,1064.8201294619892,982.8074006916607,156.6410305426844
8,10.0,7832.051527134244,1243.9180810203623,1064.3418896208364,144.59172050093994
9,11.0,8109.1856580943795,1478.9502325214964,1064.0074219692547,168.69034058442978
10,12.0,8374.270479012768,1602.6964978774477,1091.4589418025346,96.39448033395936
11,13.0,8555.010129638942,1664.88227593561,1089.36794104024,0.0
12,14.0,9615.349413312502,1264.36829452531,1004.1380287372848,289.1834410018799
13,15.0,9928.631474397871,1327.1228750426126,1015.0710559067201,204.83827070966498
14,16.0,10157.568365191028,1420.245145593483,1028.448534524679,168.69034058442978
15,17.0,10410.603876067671,1587.9554736610078,1017.8587650272772,168.69034058442978
16,18.0,10603.392836735591,1662.9875722177735,1008.6179579584524,96.39448033396114
17,19.0,10808.231107445255,875.4741323437044,1015.1662734784811,120.4931004174501
18,20.0,11157.66109865586,964.2964141449112,1025.3463771862118,120.4931004174501
19,21.0,12458.98658316432,810.3737991463252,926.8236558902021,72.29586025047041
20,22.0,12748.1700241662,889.8344667573456,1001.2118832186397,132.54241045919457
21,23.0,12928.909674792374,959.018683827316,1009.909420690671,0.0
22,28.0,14459.172050093988,844.9667693100215,1006.3308768979367,60.24655020872416
23,292.0,87562.33607336084,950.1091185569509,1277.536013147154,277.1341309601354
