,fixation_id,timestamp,avg_gaze_x,avg_gaze_y,duration
0,0.0,108.44406819696934,1164.684541131063,1140.444312930733,132.5427500185181
1,2.0,831.4045228434316,825.4624841276744,1132.8161174891873,132.54275001851812
2,3.0,988.0459546834984,947.6737915914894,1139.0041531147667,108.44406819696928
3,4.0,1156.7367274343396,1238.0532056835343,1164.090575466743,132.54275001851812
4,5.0,1361.575522917504,1310.774208198933,1158.1721028107445,120.49340910774364
5,6.0,1626.6610229545402,1477.198929077988,1193.4683360309944,228.93747730471304
6,7.0,1951.9932275454482,1576.9360389594426,1182.4584465158555,228.93747730471324
7,8.0,2325.5227957794536,1390.3826990233702,1171.3590416874174,192.78945457238984
8,9.0,2626.756318548813,1464.742612063227,1161.8495426286104,530.1710000740725
9,10.0,3181.026000444434,1579.6725203644774,1156.105108132111,843.4538637542062
10,11.0,4048.578546020189,1675.661931236686,1171.5829995695356,108.4440681969694
11,12.0,4373.910750611097,833.2530516579604,1061.491173516935,192.78945457239072
12,13.0,4590.798887005035,907.4475419601993,1065.0946514948141,108.4440681969694
13,14.0,4855.8843870420715,830.621309146436,1036.3261777872403,795.2565001111083
14,15.0,5675.239568974729,811.5132753199052,1039.7357275762379,144.59209092929194
15,16.0,5843.93034172557,900.2051582237642,1071.715040485385,192.78945457238984
16,17.0,6084.917159941057,1069.0975626789875,1098.1722336498958,337.38154550168264
17,18.0,6458.446728175063,1229.473606773328,1142.7613195414679,301.23352276935924
18,19.0,6783.778932765971,1295.712507629792,1130.2508193188778,156.6414318400664
19,20.0,7036.815091892233,1529.283591986246,1152.4959263101716,301.23352276935924
20,21.0,7410.3446601262385,1419.0530764412067,1118.6527390003162,192.78945457238984
21,22.0,7699.528841984823,1655.6833032374086,1127.1894890005974,240.98681821548774
22,23.0,8048.95972839728,840.2550741746337,1021.663974381327,216.8881363939388
23,24.0,8374.291932988188,1106.6096389325048,1051.8437475816672,373.5295682340052
24,25.0,8844.216228508389,1284.8256337143662,1055.920962283502,373.5295682340052
25,26.0,9265.943160385492,1465.2720001521723,1062.8294083783123,819.3551819326572
26,27.0,10109.397024139698,1415.0529028410087,1047.1073006551378,180.74011366161534
27,28.0,10314.235819622862,1484.7279593129263,1042.9788866933084,144.59209092929194
28,29.0,10507.025274195252,1619.4860344391145,1044.5317927312014,192.78945457238984
