user_id,document,corpus,paragraph,system_label,label,f_total_time,f_fixn_n,f_fixn_dur_sum,f_fixn_dur_avg,f_fixn_dur_sd,f_scan_distance_h,f_scan_distance_v,f_scan_distance_euclid,f_scan_hv_ratio,f_avg_sacc_length,f_scan_speed_h,f_scan_speed_v,f_scan_speed,f_box_area,f_box_area_per_time,f_fixns_per_box_area,f_hull_area_per_time,f_fixns_per_hull_area
A01,nq_7p_a1_Mzgy,nq,0,False,True,4.69932910956748,17.0,3.530521613085313,0.2076777419461949,0.083125992322929,3.40248260050434,0.8351498955150551,3.525169431611856,4.074098097570801,0.2203230894757409,0.7240358189804458,0.1777168349019763,0.7501431266933137,2.841582988302992,0.6046784385706767,0.1671519404884113,0.0640166926759307,56.509286910564064
A01,nq_7p_a1_Mzgy,nq,1,True,True,13.459360552274042,49.0,11.157894244767926,0.2277121274442433,0.1137989537982118,8.410302121527668,1.9284766144146896,8.84509332746213,4.361111801233987,0.184272777655461,0.6248663960567351,0.1432814439382012,0.6571703977398613,16.21907096152836,1.205040231929001,0.3310014481944563,0.0459576742822579,79.21612785709945
A01,nq_7p_a1_Mzgy,nq,2,False,False,10.001136310105151,40.0,7.892462991709515,0.1973115747927378,0.0946748840685016,7.131121878543581,2.7907729760993547,8.393745120858883,2.555249724580143,0.2152242338681765,0.7130311654025046,0.2790455893776346,0.839279143948657,19.90134222791029,1.989908107521939,0.4975335556977572,0.0661151433141871,60.49363772220499
A01,nq_7p_a1_Mzgy,nq,3,False,False,13.844946530494964,55.0,10.615663962894772,0.1930120720526322,0.1004595030952602,11.732750097813096,2.039615977121605,12.165714353176,5.752430962210281,0.2252910065402963,0.8474391773179093,0.1473184437822951,0.878711544777708,23.930304555074663,1.7284504856963965,0.4350964464559029,0.0452980198267818,87.69850482674234
A01,nq_7p_a1_Mzgy,nq,4,False,False,5.0005681550525765,21.0,3.7835624112927846,0.1801696386329897,0.0680078755889665,3.613018725113178,1.4621878205921846,4.096578419620907,2.470967596796087,0.2048289209810453,0.7225216441580908,0.2924043379180402,0.8192225948328936,5.282911975431992,1.0564623482022006,0.2515672369253329,0.0790551377341729,53.12144060897368
A01,nq_7p_a1_Mzgy,nq,5,False,False,6.7718537425049306,24.0,5.121063773246618,0.2133776572186091,0.0994532495490221,5.444153686602078,1.2431860315396772,5.758190761821455,4.379194704962645,0.2503561200791936,0.8039384625853228,0.1835813469710021,0.8503123340775935,6.768095816738941,0.9994450669035568,0.2820039923641225,0.0699558957008257,50.66165235573469
A01,nq_7p_a1_Mzgy,nq,6,False,False,12.24235480851425,41.0,8.916675746358834,0.2174798962526545,0.100952565336248,11.130554690591245,2.891874759368281,11.677578278970438,3.848906199873839,0.2919394569742609,0.9091841287633832,0.2362188324550972,0.9538670020288073,32.18817016748904,2.629246633589069,0.7850773211582693,0.0465705400457508,71.91303540803263
A01,nq_7p_a5_NTE0,nq,0,False,False,10.856074194756085,41.0,8.566779969446811,0.2089458529133368,0.0864205395889313,8.931152160747395,1.6768848203416955,9.13497742475418,5.326037932007466,0.2283744356188545,0.8226870966911315,0.1544651215769783,0.8414623243056629,14.976513486519242,1.3795515043323392,0.3652808167443717,0.0561247850925907,67.29090401762906
A01,nq_7p_a5_NTE0,nq,1,False,False,4.265316609260438,20.0,3.337550002161411,0.1668775001080705,0.0385329940939298,3.706759461905057,0.8732576515045357,3.843212980207496,4.244748907173823,0.2022743673793419,0.8690467323943323,0.2047345441153428,0.9010381484608876,3.2369560623954263,0.7589017085783654,0.1618478031197713,0.0552142060799338,84.92350102878831
A01,nq_7p_a5_NTE0,nq,2,False,False,9.446350908644575,37.0,7.614915528397134,0.2058085277945171,0.0778029167191824,8.206270816988049,1.2301314231921323,8.327908717716399,6.67105210246005,0.2313307977143444,0.8687239015732836,0.1302229225961117,0.8816006094051976,10.094791599201573,1.0686445694033655,0.2728322053838263,0.0571050717498822,68.59034195353856
A01,nq_7p_a5_NTE0,nq,3,False,False,13.506835929324716,50.0,10.36206859876831,0.2072413719753662,0.085130522739355,11.916404166282009,1.6773378228093718,12.148212917723422,7.104355487747382,0.2479227126066004,0.8822498643379743,0.1241843635020175,0.899412192558615,19.987835419987988,1.4798310666225214,0.3997567083997597,0.0482440445970596,76.73132004924643
A01,nq_7p_a5_NTE0,nq,4,False,False,6.084703072532548,23.0,5.036447295680404,0.2189759693774088,0.1068660869102375,4.416837387788816,1.0273818204661556,4.776291584877809,4.299119664960353,0.2171041629489913,0.7258920172665813,0.1688466648609269,0.7849670769373865,4.537778436169453,0.7457682621611902,0.1972947146160631,0.0469317322632309,80.54189835825962
A01,nq_7p_a5_NTE0,nq,5,True,True,16.25398899969585,52.0,13.22971083889253,0.2544175161325486,0.0929304201789783,10.571392087432518,1.878597715538496,10.96195179991345,5.627278261861535,0.2149402313708519,0.650387550257991,0.1155776416222288,0.6744160956500324,19.85939302551246,1.2218165661293408,0.381911404336778,0.0410919308135439,77.85505824011504
A01,nq_7p_a5_NTE0,nq,6,False,False,10.868123111731393,36.0,8.494486467594967,0.2359579574331935,0.121002664721483,7.255136243808399,1.0003969207991703,7.409446725629666,7.252257671897479,0.2116984778751333,0.6675611022456102,0.0920487291609082,0.681759550334103,7.258015958284383,0.6678260711318087,0.2016115543967884,0.0435699138571815,76.02584399242791
