user_id,document,corpus,paragraph,system_label,label,gREL_label,f_total_time,f_fixn_n,f_fixn_dur_sum,f_fixn_dur_avg,f_fixn_dur_sd,f_scan_distance_h,f_scan_distance_v,f_scan_distance_euclid,f_scan_hv_ratio,f_avg_sacc_length,f_scan_speed_h,f_scan_speed_v,f_scan_speed,f_box_area,f_box_area_per_time,f_fixns_per_box_area,f_hull_area_per_time,f_fixns_per_hull_area
A01,g-rel_q116-1,g-rel,0,True,True,r,43.99838998344651,159.0,32.47758449887387,0.2042615377287664,0.1034800998757416,35.164774919926025,4.107488938465097,36.16693749871163,8.56113685191482,0.2289046677133647,0.7992286748027837,0.0933554373241942,0.8220059304969728,144.438924007211,3.282822941056552,0.9084209057057296,0.0162530047965051,222.34464588672
A01,g-rel_q118-1,g-rel,0,True,True,r,22.811005669671136,77.0,17.506120630212745,0.2273522159767889,0.1866248181369253,15.88504413381489,2.017893620298818,16.210762767787735,7.872091954709965,0.2132995101024702,0.6963763178111517,0.0884614054075551,0.7106553302619666,32.05432921579023,1.405213329038305,0.4162899898154575,0.0227441178574499,148.41479466624617
A01,g-rel_q103-1,g-rel,0,False,False,i,24.82649434018596,88.0,20.21069466431644,0.2296669848217777,0.0922915242036804,16.352807244407316,1.4943150282291373,16.50316234526611,10.943346573838904,0.1896915212099552,0.658683703801768,0.0601903356854669,0.664739939482833,24.43624561905216,0.9842809574406116,0.2776846093074109,0.0216662602614279,163.60000692242588
A01,g-rel_q076-1,g-rel,0,True,False,r,31.52003530197601,122.0,24.360226135867485,0.1996739847202253,0.1366232673294421,23.9039332222656,2.4465527044325786,24.35628918788182,9.770455048426829,0.2012916461808415,0.7583726665676369,0.0776189709495408,0.7727240453425162,58.48223247150967,1.8553986983587984,0.4793625612418825,0.0236913529826918,163.37412403140317
A01,g-rel_q097-2,g-rel,0,False,False,t,33.77566342008709,131.0,26.519079059311785,0.2024357180100136,0.0775026920093717,26.162423858530424,2.401641384695684,26.707416672124506,10.89355972346617,0.20544166670865,0.7745939297515347,0.0711056761439474,0.7907295954471482,62.8327598625964,1.8602968380253475,0.4796393882640947,0.0235562216472614,164.65001530453148
A01,g-rel_q094-2,g-rel,0,False,False,t,51.07961763428425,181.0,40.72873498558171,0.2250206352794569,0.1117598997819163,37.08277152620465,4.529720194992777,38.34398743598647,8.186547938920494,0.213022152422147,0.7259798182458395,0.0886796026435496,0.7506709958269202,167.97457906855232,3.288485443865364,0.9280363484450403,0.0147324713519054,240.52229105719576
A01,g-rel_q088-1,g-rel,0,False,False,t,52.593969417920384,192.0,41.69915998762709,0.2171831249355577,0.0971642350516697,34.12445781397712,5.017753853695574,35.75379312270134,6.800743681128254,0.1871926341502688,0.6488283389074235,0.0954054981821902,0.6798078471430019,171.2281297013557,3.255660897939622,0.8918131755278943,0.0140498304748789,259.83293266978643
A01,g-rel_q075-1,g-rel,0,False,False,i,19.28803483547966,67.0,14.610686387875852,0.2180699460876992,0.1080189738940344,13.88691094821588,1.900791431329179,14.292160644735338,7.305857296770897,0.216547888556596,0.7199754182666342,0.0985476979662407,0.740985837419031,26.396121338000107,1.3685231058088598,0.3939719602686583,0.0306777574135751,113.23044446369482
A01,g-rel_q128-1,g-rel,0,True,True,r,32.03077005228865,109.0,25.752353499526286,0.236260123848865,0.108487263244838,19.66033105098784,3.041429529315774,20.671965374630645,6.464174448720761,0.1914070868021356,0.6137951419492356,0.0949533690370475,0.6453783452875058,59.795511414598224,1.866814669674972,0.548582673528424,0.0104901966823904,324.3959976740232
A01,g-rel_q122-2,g-rel,0,False,False,i,20.293896068485115,74.0,15.39828002344354,0.2080848651816694,0.0941368328432594,14.7385636025319,2.883446302026494,15.814814878171427,5.111440290104794,0.2166412997009784,0.7262559911016679,0.1420844125886831,0.7792892416912807,42.49785671690289,2.094120151866691,0.5742953610392282,0.030068459165786,121.27048494221386
A01,g-rel_q085-2,g-rel,0,False,False,i,16.48197875946013,65.0,12.997493125602066,0.1999614327015702,0.0954281612625105,10.941573813919453,2.118347022586062,11.634552120115009,5.165147021361052,0.1817898768767969,0.6638507410792127,0.1285250426239142,0.7058953472705543,23.17805031112189,1.406266240806701,0.3565853894018752,0.0403330218125944,97.77847179405693
A01,g-rel_q134-3,g-rel,0,False,False,t,38.68491165272824,148.0,29.04381217541281,0.1962419741581947,0.0751830634340589,32.23169680733989,3.8170128141884327,33.38396718995909,8.444220225703628,0.2271018176187693,0.8331852246860891,0.098669291233065,0.8629712661526705,123.02879973665274,3.180278679219271,0.8312756738963023,0.0190460230572113,200.8703333407848
A03,g-rel_q128-1,g-rel,0,True,True,r,24.501774346801056,80.0,18.42755188207518,0.2303443985259397,0.1215552365815699,15.467529381001974,2.7724023911440185,16.200930834524442,5.579106925607351,0.2050750738547397,0.6312820109300129,0.1131510866071616,0.6612145963477796,42.88221544098023,1.750167756588572,0.536027693012253,0.0120485737843907,270.99221177236154
A03,g-rel_q075-1,g-rel,0,False,False,i,36.06762766838074,40.0,33.04291181647176,0.8260727954117939,1.2805207851861329,4.998043644195885,1.3843247764107756,5.546153602935198,3.6104559633430977,0.1422090667419281,0.1385742275635583,0.0383813648388182,0.1537709564357436,6.9189156502427664,0.1918317365882188,0.1729728912560691,0.0115987310052986,95.61630066059686
